sample       total_count  b_cell%    cd8_t_cell%  cd4_t_cell%  nk_cell%   monocyte%   
sample00479  108725       7.71       23.37        36.67        12.94      19.31       
sample00480  102557       10.45      17.6         27.18        24.01      20.77       
sample00481  102711       8.09       29.0         26.56        18.26      18.09       
sample00482  109915       11.38      22.97        28.88        13.28      23.49       
sample00483  94926        10.43      18.83        31.87        16.66      22.21       
sample00484  110072       12.78      25.65        33.96        8.5        19.12       
sample00485  102542       10.52      25.15        29.53        15.35      19.46       
sample00486  89033        6.47       24.12        35.93        15.85      17.63       
sample00487  98719        11.46      19.47        20.7         23.84      24.54       
sample00488  102087       9.35       25.27        35.03        10.44      19.92       
sample00489  102578       10.49      20.24        36.93        17.13      15.21       
sample00490  91602        7.47       24.89        34.25        21.7       11.69       
sample00491  110984       10.2       35.19        18.18        13.88      22.55       
sample00492  90452        10.7       26.77        29.17        15.87      17.5        
sample00493  101317       9.37       27.4         16.59        18.95      27.69       
sample00494  105084       8.12       28.32        28.7         12.55      22.31       
sample00495  105226       9.61       27.53        28.12        15.91      18.84       
sample00496  103327       16.17      25.13        25.24        14.35      19.11       
sample00497  90736        7.71       23.77        31.11        16.85      20.57       
sample00498  109114       9.33       17.14        27.17        18.26      28.12       
sample00499  92534        11.19      23.77        27.23        14.31      23.5        
sample00500  92267        10.13      29.98        35.71        14.24      9.94        
sample00501  108235       7.32       14.18        48.55        12.83      17.13       
sample00502  96878        7.99       24.63        26.8         18.84      21.74       
sample00503  102115       8.9        26.64        27.25        16.34      20.87       
sample00504  101281       6.04       18.32        28.1         19.5       28.03       
sample00505  102199       12.11      27.55        32.56        12.76      15.02       
sample00506  99337        17.41      15.1         31.09        7.55       28.84       
sample00507  96702        12.13      23.8         27.18        14.6       22.28       
sample00508  93751        12.41      15.48        29.33        19.32      23.46       
sample00509  104727       7.22       25.51        32.96        13.8       20.51       
sample00510  101519       5.69       21.55        38.81        10.44      23.51       
sample00511  94245        12.55      21.2         32.38        10.97      22.9        
sample00512  105031       7.72       30.61        36.98        8.58       16.11       
sample00513  87506        18.1       21.62        32.17        12.99      15.13       
sample00514  95912        6.42       29.85        36.88        16.53      10.32       
sample00515  100291       6.34       23.25        30.93        20.89      18.6        
sample00516  104517       6.82       29.07        28.81        15.65      19.66       
